source,dest
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/control-panel-overview.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/control-panel-overview.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/get-started-with-control-panel.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/get-started-with-control-panel.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/sftp-management/monitor-server-capacity.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/sftp-management/monitor-server-capacity.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/sftp-management/allowlist-ip-range.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/sftp-management/allowlist-ip-range.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/sftp-management/generate-ssh-key.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/sftp-management/generate-ssh-key.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/sftp-management/connect-to-sftp-server.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/sftp-management/connect-to-sftp-server.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/subdomains-and-certificates/subdomain-delegation.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/subdomains-and-certificates/subdomain-delegation.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/subdomains-and-certificates/delegate-subdomains-using-cname.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/subdomains-and-certificates/delegate-subdomains-using-cname.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/subdomains-and-certificates/add-ssl-certificates.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/subdomains-and-certificates/add-ssl-certificates.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/subdomains-and-certificates/google-txt-record-management.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/subdomains-and-certificates/google-txt-record-management.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/instance-settings/allowlist-ip-adresses.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/instance-settings/allowlist-ip-adresses.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/instance-settings/add-url-permissions.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/instance-settings/add-url-permissions.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/instance-settings/gpg-key-management/gpg-key-management-overview.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/instance-settings/gpg-key-management/gpg-key-management-overview.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/instance-settings/gpg-key-management/generate-and-install-gpg-keys-for-data-encryption.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/instance-settings/gpg-key-management/generate-and-install-gpg-keys-for-data-encryption.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/instance-settings/gpg-key-management/use-a-gpg-key-to-encrypt-data.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/instance-settings/gpg-key-management/use-a-gpg-key-to-encrypt-data.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/instance-settings/gpg-key-management/decrypt-data.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/instance-settings/gpg-key-management/decrypt-data.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/performance-monitoring/monitor-databases.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/performance-monitoring/monitor-databases.html
https://experienceleague.adobe.com/docs/control-panel-learn/control-panel/trouble-shooting.html,https://experienceleague.adobe.com/docs/control-panel-learn/tutorials/trouble-shooting.html